2012-03-13 20:22:42,906 [  19848]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/editor.codeinsight.xml file is null 
2012-03-13 20:22:42,906 [  19848]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/editor.codeinsight.xml 
2012-03-13 20:22:42,984 [  19926]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/keymap.xml file is null 
2012-03-13 20:22:42,984 [  19926]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/keymap.xml 
2012-03-13 20:22:43,691 [  20633]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/window.manager.xml file is null 
2012-03-13 20:22:43,691 [  20633]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/window.manager.xml 
2012-03-13 20:22:43,868 [  20810]   INFO -                  TestNG Runner - Create TestNG Template Configuration 
2012-03-13 20:22:44,017 [  20959]   INFO - ellij.project.impl.ProjectImpl - 27 project components initialized in 1331 ms 
2012-03-13 20:22:44,017 [  20959]   INFO - .module.impl.ModuleManagerImpl - 0 modules loaded in 0 ms 
2012-03-13 20:22:44,029 [  20971]   INFO - .intellij.ide.XmlRpcServerImpl - XmlRpc server listening at /127.0.0.1:63342 
2012-03-13 20:22:44,034 [  20976]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/notifications.xml file is null 
2012-03-13 20:22:44,034 [  20976]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/notifications.xml 
2012-03-13 20:22:44,037 [  20979]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/usage.statistics.xml file is null 
2012-03-13 20:22:44,037 [  20979]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/usage.statistics.xml 
2012-03-13 20:22:44,038 [  20980]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/statistics.application.usages.xml file is null 
2012-03-13 20:22:44,038 [  20980]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/statistics.application.usages.xml 
2012-03-13 20:22:48,877 [  25819]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/stubIndex.xml file is null 
2012-03-13 20:22:48,877 [  25819]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/stubIndex.xml 
2012-03-13 20:22:48,887 [  25829]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/macros.xml file is null 
2012-03-13 20:22:48,887 [  25829]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/macros.xml 
2012-03-13 20:22:48,899 [  25841]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/quicklists.xml file is null 
2012-03-13 20:22:48,899 [  25841]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/quicklists.xml 
2012-03-13 20:22:49,134 [  26076]   INFO - api.vfs.impl.local.FileWatcher - 1 paths checked, 0 mapped, 172 mks 
2012-03-13 20:22:49,157 [  26099]   INFO - pl.stores.ApplicationStoreImpl - 93 application components initialized in 7777 ms 
2012-03-13 20:22:49,177 [  26119]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/customization.xml file is null 
2012-03-13 20:22:49,178 [  26120]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/customization.xml 
2012-03-13 20:22:49,263 [  26205]   INFO - om.intellij.util.ProfilingUtil - Profiling agent is not enabled. Add -agentlib:yjpagent to idea.vmoptions if necessary to profile IDEA. 
2012-03-13 20:22:49,323 [  26265]   INFO - ij.openapi.wm.impl.IdeRootPane - App initialization took 26674 ms 
2012-03-13 20:22:52,081 [  29023]   INFO - s.impl.stores.FileBasedStorage - Document was not loaded for $APP_CONFIG$/plugin_ui.xml file is null 
2012-03-13 20:22:52,081 [  29023]   INFO - .impl.stores.XmlElementStorage - Document was not loaded for $APP_CONFIG$/plugin_ui.xml 
2012-03-13 20:23:23,963 [  60905]   INFO - tbrains.android.sdk.AndroidSdk - DDMLib terminated 
2012-03-13 20:23:24,126 [  61068]   INFO - j.util.indexing.FileBasedIndex - START INDEX SHUTDOWN 
2012-03-13 20:23:24,465 [  61407]   INFO - j.util.indexing.FileBasedIndex - END INDEX SHUTDOWN 
2012-03-13 20:23:24,465 [  61407]   INFO - stubs.SerializationManagerImpl - START StubSerializationManager SHUTDOWN 
2012-03-13 20:23:24,473 [  61415]   INFO - stubs.SerializationManagerImpl - END StubSerializationManager SHUTDOWN 
2012-03-13 20:23:24,474 [  61416]   INFO - .history.utils.LocalHistoryLog - Purging local history... 
2012-03-13 20:23:24,477 [  61419]   INFO - .history.utils.LocalHistoryLog - Local history storage successfully closed. 
2012-03-13 20:23:24,902 [  61844]   INFO - newvfs.persistent.PersistentFS - VFS dispose started 
2012-03-13 20:23:24,997 [  61939]   INFO - newvfs.persistent.PersistentFS - VFS dispose completed 
2012-03-13 20:23:25,138 [  62080]   INFO -        #com.intellij.idea.Main - ------------------------------------------------------ IDE SHUTDOWN ------------------------------------------------------ 
